,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
259,Tamboril,0,BR,1540698210,57,-4.83,-40.32,75.74,8.08
260,Burnie,20,AU,1540698210,100,-41.05,145.91,53.87,13.0
261,Fonte Boa,0,BR,1540698211,97,-2.51,-66.09,76.73,2.37
262,Oranjemund,12,ZA,1540698211,98,-28.55,16.43,61.34,0.69
263,Mahebourg,20,MU,1540695600,77,-20.41,57.7,68.0,5.82
264,Sistranda,76,NO,1540698211,100,63.73,8.83,33.17,3.94
265,Sinnamary,92,GF,1540698211,98,5.38,-52.96,80.69,6.17
266,Scarborough,8,GB,1540695000,88,54.28,-0.41,42.8,10.29
267,Antalaha,64,MG,1540698262,93,-14.9,50.28,68.18,4.61
268,Kandrian,100,PG,1540698262,100,-6.21,149.55,73.53,2.93
269,Spirit River,20,CA,1540695600,74,55.78,-118.84,30.2,9.17
270,Tabuk,64,PH,1540698263,86,17.41,121.44,67.73,3.38
271,Touros,8,BR,1540698263,96,-5.2,-35.46,74.66,8.97
272,Kailua,75,US,1540695420,78,21.39,-157.74,82.4,9.17
273,Sayyan,0,YE,1540698264,74,15.17,44.32,36.45,2.04
274,Mahibadhoo,92,MV,1540698264,100,3.78,72.97,79.52,6.96
275,Tomatlan,0,MX,1540698264,95,19.93,-105.25,71.28,2.37
276,San Patricio,0,PY,1540698264,76,-26.98,-56.83,60.03,3.6
277,Tuatapere,88,NZ,1540698265,100,-46.13,167.69,49.1,2.04
278,Narsaq,80,GL,1540695000,74,60.91,-46.05,33.8,8.05
279,Fairview,90,US,1540697100,100,40.81,-74.0,51.8,6.4
280,Kinshasa,75,CD,1540696200,88,-4.32,15.31,73.4,11.41
281,Canandaigua,90,US,1540696260,93,42.88,-77.28,41.0,4.7
282,Cherskiy,80,RU,1540698242,87,68.75,161.3,2.43,5.95
283,Libreville,75,GA,1540695600,88,0.39,9.45,80.6,9.17
284,Ust-Karsk,76,RU,1540698267,43,52.71,118.82,29.97,10.98
285,Lagoa,0,PT,1540697400,62,37.14,-8.45,53.6,11.41
286,Mitsamiouli,20,KM,1540695600,83,-11.38,43.28,71.6,4.7
287,Gigmoto,76,PH,1540698268,97,13.78,124.39,82.31,22.39
288,Santa Vitoria do Palmar,64,BR,1540698268,90,-33.52,-53.37,58.55,7.63
289,Caravelas,56,BR,1540698268,100,-17.73,-39.27,77.4,26.75
290,Rundu,12,NA,1540698268,34,-17.91,19.77,62.42,9.19
291,Opuwo,44,NA,1540698269,90,-18.06,13.84,59.58,2.37
292,Sorland,80,NO,1540698269,100,67.67,12.69,41.63,10.54
293,San Quintin,75,PH,1540695600,54,17.54,120.52,84.2,9.17
294,Kjopsvik,0,NO,1540696800,92,68.1,16.37,21.2,3.36
295,Strezhevoy,75,RU,1540695600,100,60.73,77.6,37.4,2.24
296,Merauke,12,ID,1540698270,92,-8.49,140.4,83.93,11.21
297,Wasilla,1,US,1540695360,80,61.58,-149.44,42.8,6.93
298,Brae,48,GB,1540696800,86,60.4,-1.35,39.2,5.82
299,Mount Gambier,0,AU,1540698270,68,-37.83,140.78,62.87,2.59
300,Gwembe,0,ZM,1540698270,73,-16.5,27.61,60.44,7.18
301,Tapes,92,BR,1540698271,89,-30.67,-51.4,62.24,9.75
302,Aksay,0,RU,1540698271,88,47.27,39.86,50.85,13.67
303,Katsuura,75,JP,1540695600,52,33.93,134.5,64.4,13.87
304,Porto Novo,75,BR,1540695600,88,-23.68,-45.44,66.2,6.93
305,Saskylakh,92,RU,1540698272,91,71.97,114.09,29.75,20.15
306,Rosoman,0,BG,1540697400,86,42.76,23.08,39.2,4.7
307,Huaraz,48,PE,1540698272,92,-9.53,-77.53,39.38,1.7
308,Warman,75,CA,1540695600,55,52.32,-106.58,39.2,9.17
309,Zapolyarnyy,80,RU,1540696800,86,69.43,30.82,28.4,10.29
310,Tatarsk,92,RU,1540698323,76,55.22,75.96,51.57,8.63
311,Virginia Beach,90,US,1540697640,87,36.85,-75.98,57.2,11.41
312,Buraydah,40,SA,1540695600,59,26.33,43.97,62.6,12.75
313,Ereymentau,92,KZ,1540698323,84,51.62,73.1,49.73,15.01
314,Hamilton,75,BM,1540695300,73,32.3,-64.78,75.2,20.8
315,Mpika,0,ZM,1540698324,65,-11.84,31.4,60.44,9.75
316,Saint-Joseph,68,FR,1540697400,93,43.56,6.97,57.2,4.7
317,Oistins,20,BB,1540695600,94,13.07,-59.53,73.4,5.82
318,Barkhan,0,PK,1540698325,78,29.9,69.52,52.61,2.37
319,Beloha,12,MG,1540698325,90,-25.17,45.06,62.82,8.08
320,Poco Branco,20,BR,1540695600,69,-5.62,-35.66,78.8,8.05
321,Turayf,0,SA,1540695600,75,31.68,38.65,42.8,5.82
322,Usinsk,0,RU,1540698326,86,66.0,57.56,21.47,6.96
323,Ust-Nera,36,RU,1540698326,74,64.57,143.24,5.67,2.59
324,Santa Cruz,1,US,1540695360,82,36.97,-122.03,64.4,2.71
325,Ishinomaki,20,JP,1540695600,42,38.42,141.3,66.2,5.82
326,Meadow Lake,32,CA,1540698328,70,54.13,-108.44,39.02,8.75
327,Berlevag,88,NO,1540698328,100,70.86,29.09,33.08,15.9
328,Atar,44,MR,1540698328,29,20.52,-13.05,77.99,6.73
329,Aykhal,88,RU,1540698328,85,65.95,111.51,31.19,13.11
330,Bosaso,0,SO,1540698328,100,11.28,49.18,76.91,4.94
331,Alice Springs,75,AU,1540697400,32,-23.7,133.88,84.2,9.17
332,Ballina,0,IE,1540698158,100,54.11,-9.15,34.92,6.62
333,Alice Town,20,BS,1540698329,100,25.72,-79.3,80.33,6.96
334,Atikokan,88,CA,1540698329,99,48.76,-91.62,42.53,6.85
335,Carauari,20,BR,1540698330,89,-4.88,-66.9,79.25,2.59
336,Bergerac,0,FR,1540697400,75,44.85,0.49,41.0,5.82
337,Vidalia,1,US,1540695360,93,31.57,-91.43,57.2,3.36
338,Bulawayo,0,ZW,1540698054,69,-20.16,28.59,52.88,6.17
339,Glencoe,0,ZA,1540698331,79,-28.17,30.16,50.85,1.81
340,Ca Mau,80,VN,1540698331,100,9.18,105.15,78.57,6.17
341,Lewistown,1,US,1540695300,87,40.39,-90.15,50.0,6.93
342,Okhotsk,68,RU,1540698331,100,59.36,143.24,31.5,5.84
343,Bambanglipuro,48,ID,1540698332,87,-7.95,110.28,80.37,4.61
344,Joshimath,0,IN,1540698332,63,30.57,79.57,6.08,1.36
345,Sao Filipe,24,CV,1540698332,100,14.9,-24.5,77.36,12.44
346,Vila,90,IT,1540696800,100,45.18,8.4,57.2,8.05
347,Kuandian,76,CN,1540698333,55,40.73,124.78,38.43,5.73
348,Mbandaka,24,CD,1540698333,99,0.05,18.26,73.85,0.47
349,Kirakira,36,SB,1540698333,100,-10.46,161.92,83.39,7.63
350,Deputatskiy,0,RU,1540698333,63,69.3,139.9,-4.37,4.94
351,Damghan,92,IR,1540698334,73,36.17,54.34,50.13,2.48
352,Matara,44,PE,1540698384,98,-13.74,-72.9,45.14,1.14
353,Vila do Maio,40,CV,1540695600,78,15.13,-23.22,77.0,10.29
354,Matagami,56,NG,1540698384,85,9.67,8.4,65.7,2.59
355,Collie,0,AU,1540698385,63,-33.36,116.15,68.58,8.63
356,Yuryev-Polskiy,48,RU,1540698385,93,56.5,39.68,41.0,14.56
357,Talavera,75,PH,1540695600,52,15.58,120.92,87.8,6.93
358,Markova,0,RU,1540695600,74,52.21,104.21,37.4,2.37
359,Colares,20,PT,1540697400,76,38.8,-9.45,48.2,4.7
360,Belaya Gora,68,RU,1540698386,78,68.54,146.19,13.05,8.97
361,Ellisras,0,ZA,1540698386,51,-23.67,27.74,58.28,3.49
362,Buala,32,SB,1540698386,97,-8.15,159.59,83.84,3.49
363,Gravdal,0,NO,1540696800,59,59.79,5.78,33.8,10.29
364,Sayville,90,US,1540696920,93,40.74,-73.08,53.6,6.93
365,Ndola,0,ZM,1540698387,37,-12.97,28.64,61.92,10.65
366,Mumford,32,GH,1540698387,96,5.26,-0.76,77.27,5.17
367,Morris,1,US,1540696500,87,41.36,-88.42,46.4,5.82
368,Harbour Breton,56,CA,1540698388,100,47.48,-55.8,41.18,2.15
369,Nador,24,MA,1540697400,82,35.17,-2.93,59.0,13.87
370,Garowe,12,SO,1540698388,87,8.41,48.48,60.35,2.71
371,Oga,0,NG,1540698389,93,8.18,5.65,71.6,2.82
372,Punta Umbria,24,ES,1540698389,100,37.18,-6.97,52.43,13.44
373,Golubitskaya,0,RU,1540695600,82,45.32,37.28,59.0,13.42
374,Arlit,88,NE,1540698389,46,18.74,7.39,79.25,2.93
375,Staryy Nadym,64,RU,1540698390,88,65.61,72.68,26.82,10.87
376,Killybegs,0,IE,1540698390,100,54.63,-8.45,41.54,7.18
377,Balakhta,0,RU,1540698390,88,55.38,91.62,35.33,3.04
378,Tecoanapa,40,MX,1540694760,83,16.99,-99.26,82.4,3.36
379,Conde,0,BR,1540698391,93,-11.81,-37.61,76.46,14.23
380,Lanxi,0,CN,1540698391,56,29.21,119.46,67.01,3.6
381,Ambilobe,80,MG,1540698391,77,-13.19,49.05,66.2,4.5
382,Lavrentiya,0,RU,1540698391,100,65.58,-170.99,29.7,15.23
383,Norfolk,90,US,1540697640,87,36.85,-76.29,57.2,11.41
384,Portland,90,US,1540696560,100,45.52,-122.67,60.8,6.93
385,Hilton Head Island,1,US,1540696500,72,32.16,-80.75,59.0,6.93
386,Lashio,88,MM,1540698124,98,22.93,97.75,69.44,2.04
387,Henties Bay,44,NA,1540698393,75,-22.12,14.28,69.26,4.05
388,Florianopolis,75,BR,1540695600,88,-27.6,-48.55,64.4,13.87
389,Bose,90,IT,1540696800,100,45.46,8.01,57.2,4.7
390,Haines Junction,36,CA,1540698393,94,60.75,-137.51,21.42,2.15
391,Marienburg,20,DE,1540696800,93,52.12,9.98,35.6,6.93
392,Amapa,75,HN,1540695600,94,15.09,-87.97,73.4,8.05
393,Lorengau,12,PG,1540698394,99,-2.02,147.27,84.65,2.48
394,Egvekinot,80,RU,1540698394,71,66.32,-179.17,5.9,2.37
395,Norman Wells,90,CA,1540695600,92,65.28,-126.83,23.0,2.82
396,Geneva,75,FR,1540697400,86,46.2,6.15,44.6,17.22
397,Victoria,75,BN,1540697400,88,5.28,115.24,87.8,2.24
398,Whitehorse,75,CA,1540695600,80,60.72,-135.06,33.8,9.17
399,Ghazipur,0,IN,1540698445,71,25.59,83.59,76.68,4.5
400,Paamiut,88,GL,1540698446,100,61.99,-49.67,36.32,36.04
401,Blagoyevo,88,RU,1540698446,90,63.37,47.92,30.15,4.05
402,Birjand,90,IR,1540695600,32,32.86,59.22,66.2,16.11
403,Cassilandia,44,BR,1540698446,96,-19.11,-51.73,68.45,5.95
404,Alekseyevsk,8,RU,1540698447,82,57.84,108.35,37.58,4.16
405,Ahipara,80,NZ,1540698447,86,-35.17,173.16,60.98,13.22
406,Itoman,75,JP,1540695600,47,26.12,127.67,75.2,18.34
407,Birao,12,CF,1540698448,65,10.3,22.78,67.37,4.5
408,Ypsonas,0,CY,1540697400,62,34.69,32.96,60.8,10.29
409,Plettenberg Bay,12,ZA,1540698448,97,-34.05,23.37,62.37,4.38
410,Vostok,88,RU,1540698448,75,46.45,135.83,30.29,4.72
411,Salalah,32,OM,1540695000,83,17.01,54.1,75.2,3.36
412,Prince Rupert,90,CA,1540695600,57,54.32,-130.32,48.2,5.95
413,Karibib,80,NA,1540698449,68,-21.94,15.86,66.78,2.93
414,Ucluelet,92,CA,1540698449,100,48.94,-125.55,44.55,2.82
415,Vestmannaeyjar,92,IS,1540698450,100,63.44,-20.27,41.13,33.13
416,Tabasco,5,MX,1540694400,72,21.87,-102.91,60.8,2.24
417,Maiduguri,8,NG,1540698450,73,11.84,13.15,71.33,2.26
418,Ladnun,0,IN,1540698450,35,27.64,74.39,71.51,2.93
419,Mocuba,0,MZ,1540698450,93,-16.84,36.99,64.31,2.93
420,Kamina,75,CD,1540695600,83,-8.74,25.0,73.4,6.93
421,Maniitsoq,88,GL,1540698451,97,65.42,-52.9,33.17,20.27
422,Padang,20,ID,1540698451,100,-0.92,100.36,80.69,4.38
423,Kropotkin,12,RU,1540698451,75,45.43,40.58,43.02,7.29
424,Soloneshnoye,0,RU,1540698452,52,51.65,84.32,30.47,3.15
425,Grand Gaube,20,MU,1540695600,77,-20.01,57.66,68.0,5.82
426,Abha,0,SA,1540695600,93,18.22,42.5,60.8,1.81
427,Suclayin,0,PH,1540698452,100,15.76,121.55,81.63,17.13
428,Huarmey,8,PE,1540698452,88,-10.07,-78.15,55.31,3.6
429,Nkan,92,CM,1540698453,100,2.95,11.22,67.77,2.48
430,La Ronge,40,CA,1540695600,84,55.1,-105.3,33.8,6.93
431,Faya,0,SA,1540695600,93,18.39,42.45,60.8,3.49
432,Karratha,0,AU,1540698453,26,-20.74,116.85,95.85,6.73
433,Ziway,0,ET,1540698454,100,7.93,38.72,43.07,2.82
434,Taltal,0,CL,1540698454,93,-25.41,-70.49,54.68,1.92
435,Palmer,1,US,1540695360,75,61.6,-149.11,42.8,8.05
436,Constitucion,20,MX,1540694520,67,23.99,-104.67,59.0,5.82
437,Forssa,20,FI,1540696800,74,60.82,23.63,30.2,9.17
438,Batabano,20,CU,1540695300,88,22.72,-82.29,77.0,5.82
439,Canutama,12,BR,1540698505,94,-6.53,-64.38,77.99,2.37
440,Kurilsk,0,RU,1540698505,92,45.23,147.88,53.69,6.17
441,Victor Harbor,75,AU,1540697400,55,-35.55,138.62,66.2,14.99
442,Koygorodok,88,RU,1540698506,85,60.44,51.01,32.4,6.4
443,Ust-Ilimsk,0,RU,1540698506,58,57.96,102.73,38.57,6.17
444,Elizabethton,90,US,1540696500,87,36.35,-82.21,46.4,8.05
445,Sharjah,0,AE,1540695600,66,25.36,55.39,84.2,4.7
446,Nauta,56,PE,1540698507,96,-4.51,-73.58,73.67,2.48
447,Maputo,40,MZ,1540695600,93,-25.97,32.57,64.4,4.7
448,Frederico Westphalen,0,BR,1540698507,93,-27.36,-53.4,56.43,6.96
449,Lenger,90,KZ,1540695600,100,42.18,69.89,51.8,13.42
450,Gberia Fotombu,68,SL,1540698508,99,9.88,-11.17,68.81,2.93
451,Bintulu,75,MY,1540695600,88,3.17,113.03,82.4,4.7
452,Aleksandrov Gay,32,RU,1540698508,72,50.14,48.57,29.66,7.74
453,Juruti,20,BR,1540698508,56,-2.16,-56.09,84.6,3.71
454,Flinders,40,AU,1540695600,42,-34.58,150.85,68.0,11.41
455,Warmbad,92,DE,1540696800,80,50.67,13.08,39.2,6.93
456,Hongjiang,44,CN,1540698509,70,27.21,109.83,62.87,3.6
457,Farafangana,92,MG,1540698510,100,-22.82,47.83,64.94,3.49
458,Odessa,0,US,1540696500,67,31.85,-102.37,64.4,5.82
459,Port Hawkesbury,90,CA,1540696740,93,45.62,-61.36,35.6,17.22
460,Paita,24,PE,1540698510,82,-5.09,-81.11,64.76,6.06
461,Tezu,12,IN,1540698510,45,27.93,96.16,69.71,0.36
462,Te Anau,92,NZ,1540698511,100,-45.41,167.72,45.68,3.38
463,Comarapa,92,BO,1540698511,99,-17.91,-64.53,58.01,2.26
464,Allahabad,0,IN,1540698511,58,25.44,81.83,77.18,3.38
465,Aksu,0,KZ,1540695600,38,52.04,76.93,53.6,13.42
466,Fort Wellington,80,GY,1540698313,93,6.4,-57.6,83.57,12.44
467,Langsa,24,ID,1540698512,87,4.47,97.97,79.07,1.59
468,Avarua,90,CK,1540695600,94,-21.21,-159.78,73.4,8.05
469,Susuman,20,RU,1540698512,81,62.78,148.15,12.78,3.6
470,Linabo,20,PH,1540698512,57,8.05,125.16,85.68,2.82
471,Sao Felix do Xingu,12,BR,1540698513,91,-6.64,-51.99,77.13,0.13
472,Ryotsu,75,JP,1540696680,82,38.08,138.43,60.8,5.82
473,Broome,56,GB,1540696800,93,52.47,1.45,42.8,14.99
474,Rodeo,0,MX,1540698513,84,25.18,-104.56,50.63,3.04
475,Lithgow,90,AU,1540697400,52,-33.48,150.16,68.0,9.17
476,Tautira,40,PF,1540697400,74,-17.73,-149.15,80.6,8.05
477,Madimba,75,CM,1540695600,100,4.42,9.93,77.0,2.24
478,Gwanda,0,ZW,1540698514,68,-20.94,29.0,54.95,4.94
479,Simbahan,76,PH,1540698514,99,6.3,120.58,84.87,13.22
480,Altamont,56,CA,1540696500,100,49.4,-98.5,39.2,3.36
481,Toronto,90,CA,1540696440,93,43.65,-79.39,37.4,9.17
482,Santa Marta,40,CO,1540695600,74,11.24,-74.21,82.4,11.41
483,Ordu,0,TR,1540698515,77,40.98,37.88,38.3,2.82
484,Nioro,24,GM,1540698516,71,13.79,-15.05,77.63,7.63
485,Suslonger,40,RU,1540695600,100,56.32,48.25,30.2,11.18
486,Porto Calvo,0,BR,1540695600,88,-9.05,-35.4,71.6,4.7
487,Huntsville,1,US,1540697700,100,34.73,-86.59,51.8,3.38
488,Skovorodino,56,RU,1540698566,54,53.99,123.94,31.32,12.44
489,Hofn,92,IS,1540698567,100,64.25,-15.21,40.01,25.08
490,Esperance,0,TT,1540695600,83,10.24,-61.45,77.0,5.06
491,Codrington,48,AU,1540698567,60,-28.95,153.24,72.9,6.73
492,Dingle,80,PH,1540698567,70,11.0,122.67,83.93,5.39
493,Fairbanks,90,US,1540695480,93,64.84,-147.72,32.0,4.7
494,Khani,0,GE,1540695600,58,41.96,42.96,57.2,23.04
495,Kisangani,32,CD,1540698568,100,0.52,25.21,68.18,2.15
496,Petlawad,0,IN,1540698568,43,22.96,74.82,76.32,5.39
497,Half Moon Bay,75,US,1540698000,82,37.46,-122.43,66.2,3.36
498,Gazli,88,UZ,1540698569,53,40.13,63.45,50.22,12.33
499,Yakima,90,US,1540695180,87,46.6,-120.51,50.0,6.93
500,Portobelo,92,PA,1540698569,100,9.55,-79.65,78.08,1.7
501,Pahrump,1,US,1540695480,20,36.21,-115.98,69.8,10.29
502,Palmerston,90,CA,1540695600,97,43.83,-80.85,32.0,5.82
503,Yanam,0,IN,1540698570,63,16.73,82.22,84.11,14.67
504,Coquimbo,0,CL,1540695600,93,-29.95,-71.34,55.4,8.05
505,Coahuayana,24,MX,1540698570,75,18.62,-100.35,68.45,3.04
506,Cortez,1,US,1540695180,52,37.35,-108.58,44.6,9.17
507,Kintampo,48,GH,1540698571,94,8.05,-1.73,72.27,5.28
508,Pangai,75,TO,1540695600,83,-19.8,-174.35,80.6,6.93
509,Luderitz,24,NA,1540695600,34,-26.65,15.16,80.6,8.05
510,Penzance,0,GB,1540695000,75,50.12,-5.53,42.8,26.4
511,Lomovka,75,RU,1540695600,78,53.92,58.37,32.0,8.95
512,Seoul,75,KR,1540697400,71,37.57,126.98,62.6,10.29
513,Popondetta,88,PG,1540698572,78,-8.77,148.24,76.55,2.26
514,Sambava,64,MG,1540698572,100,-14.27,50.17,72.95,9.98
515,Mahajanga,40,MG,1540695600,88,-15.72,46.32,75.2,4.7
516,Mayo,5,CA,1540695600,92,63.59,-135.9,24.8,2.24
517,Dalby,8,AU,1540695600,31,-27.18,151.26,87.8,8.05
518,Yashkul,0,RU,1540698573,81,46.17,45.34,35.42,3.38
519,Stromness,90,CA,1540696380,100,42.87,-79.55,39.2,13.87
520,Islamkot,0,PK,1540698574,45,24.7,70.18,76.5,2.93
